shot,flat_carry_yd,distance_trend_yd,ball_speed_mph,launch_angle_deg,height_yd,landing_angle_deg,hang_time_s,curve_direction,curve_yd,offline_direction,offline_yd
AVG,176,188,124,18,29,41,5.6,,1,L,7
1,175,179,127,18,36,50,6.5,R,9,R,1
2,193,200,130,20,39,49,6.6,R,4,L,8
3,150,165,111,17,19,33,4.4,L,21,L,41
4,133,169,114,15,11,23,3.4,L,17,L,35
5,179,185,123,21,38,49,6.3,R,20,R,30
6,177,184,119,20,31,44,5.8,R,1,L,5
7,165,172,119,18,29,45,5.6,R,40,R,55
8,189,195,131,18,39,50,6.5,R,15,R,7
9,204,222,135,15,27,36,5.7,L,27,L,43
10,192,209,131,15,25,35,5.4,L,30,L,31
