shot,flat_carry_yd,distance_trend_yd,ball_speed_mph,launch_angle_deg,height_yd,landing_angle_deg,hang_time_s,curve_yd,offline_yd
AVG,163,183,126,17,29,39,5.5,R 9,R 6
1,151,155,107,23,31,46,5.6,R 8,R 3
2,148,149,115,27,42,54,6.6,R 28,R 44
3,153,153,113,23,35,50,6.1,L 8,L 18
4,152,154,114,26,42,55,6.6,R 4,R 3
5,149,152,107,23,32,48,5.8,R 14,R 11
6,158,161,118,25,44,54,6.8,R 13,R 7
7,154,156,115,25,40,52,6.5,R 15,R 8
8,202,217,132,15,28,39,5.9,R 4,R 26
9,210,219,143,16,43,48,7.3,R 30,R 36
10,221,233,143,14,33,40,6.8,L 19,L 6
11,118,173,119,11,7,16,2.7,L 14,L 6
12,185,208,140,9,17,31,4.9,R 54,R 35
13,193,207,129,14,24,32,5.7,L 20,L 50
14,179,226,140,8,10,15,4.0,R 3,0
15,14,129,140,3,0,2,0.3,0,L 5
16,222,233,147,13,35,45,6.7,R 25,R 14
