shot_number,flat_carry_yd,distance_trend_yd,ball_speed_mph,launch_angle_deg,height_yd,landing_angle_deg,hang_time_s,curve_direction,curve_yd,offline_direction,offline_yd,curve_signed_yd,offline_signed_yd
1,241,256,154,14,35,40,6.7,R,10,L,3,10,-3
2,236,247,155,16,45,47,7.4,R,31,R,30,31,30
3,245,259,157,13,37,44,7.1,R,8,L,9,8,-9
4,233,245,150,13,38,43,7.1,R,4,R,4,4,4
5,189,231,149,15,17,26,4.1,L,31,L,79,-31,-79
6,234,246,145,18,41,44,7.2,R,22,R,41,22,41
7,124,188,149,12,8,17,2.3,L,19,L,65,-19,-65
8,248,262,151,19,43,43,7.3,R,20,R,23,20,23
9,247,275,149,14,31,33,6.2,R,7,L,20,7,-20
10,236,266,152,14,26,32,5.6,L,27,L,55,-27,-55
11,240,269,155,15,28,34,5.8,L,19,L,19,-19,-19
12,248,280,148,17,31,35,5.9,L,28,L,21,-28,-21
13,236,249,147,19,44,43,7.1,R,49,R,54,49,54
14,270,297,155,17,38,38,6.7,R,7,L,18,7,-18
15,243,271,151,14,30,34,5.9,L,19,L,28,-19,-28
16,229,265,145,17,26,32,5.3,L,10,L,16,-10,-16
17,266,292,155,18,43,40,6.7,R,21,R,7,21,7
18,241,278,149,17,29,33,5.6,L,20,L,67,-20,-67
19,252,272,152,17,45,43,6.7,R,32,R,34,32,34
20,248,270,151,17,38,38,6.4,L,23,L,28,-23,-28
21,254,274,152,16,40,40,6.9,R,39,R,22,39,22
22,230,251,142,14,28,35,6.2,R,13,L,13,13,-13
23,231,252,146,12,30,37,6.2,L,8,L,26,-8,-26
24,241,254,150,17,44,44,7.2,R,16,R,14,16,14
25,205,235,137,11,19,27,5.2,R,34,R,29,34,29
26,163,212,143,13,12,21,3.4,L,23,L,73,-23,-73
27,247,268,145,17,36,39,6.6,R,8,R,6,8,6
28,170,222,148,14,14,23,3.5,L,32,L,70,-32,-70
29,257,280,153,17,37,36,6.8,L,23,L,42,-23,-42
30,229,238,148,21,51,48,7.4,R,48,R,75,48,75
31,221,236,143,14,33,41,6.3,R,45,R,36,45,36
32,206,220,139,16,31,40,6.1,R,57,R,85,57,85
33,206,234,137,10,18,27,5.3,R,23,R,27,23,27
34,261,284,152,18,38,38,6.8,L,4,L,30,-4,-30
35,131,195,147,12,8,17,2.5,L,19,L,70,-19,-70
36,231,245,141,19,39,41,6.7,R,48,R,64,48,64
37,216,232,143,17,38,44,6,R,42,R,22,42,22
