session_date,session_id,club,shot_num,club_speed_mps,attack_angle_deg,ball_speed_mps,spin_rate_rpm,carry_m,side_m,smash_factor
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,1,46.0,6.0,63.6,2770,198.4,-18.8,1.383
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,2,45.2,4.4,63.1,2420,198.7,-23.2,1.396
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,3,45.2,2.2,63.6,3900,201.6,41.7,1.407
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,4,45.8,2.8,65.6,3720,211.7,38.9,1.432
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,5,44.4,3.0,64.7,2900,219.9,9.1,1.457
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,6,45.1,3.6,62.9,3390,205.2,58.1,1.395
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,7,44.6,5.4,65.9,2380,229.0,-9.6,1.478
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,8,44.8,4.4,63.0,1720,194.1,-19.5,1.406
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,9,46.2,4.6,65.5,2890,219.4,30.9,1.418
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,10,44.5,4.2,65.0,2460,224.2,-7.0,1.461
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,11,46.7,,58.1,2470,128.8,-4.8,1.244
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,12,44.6,4.0,63.9,1970,203.9,-14.4,1.433
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,13,44.3,6.2,64.4,2580,223.5,2.5,1.454
2026-05-08,2a637be4-1b4b-f111-9c8c-c86e08cb2270,Dr,14,45.5,3.2,63.4,2420,185.5,4.4,1.393
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,1,44.7,5.2,64.3,3260,213.9,16.4,1.439
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,2,42.6,1.6,61.6,4900,185.9,28.4,1.446
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,3,43.7,,35.1,5870,83.9,-14.5,0.803
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,4,45.6,5.3,64.7,3020,219.1,-0.9,1.419
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,5,42.2,1.2,62.1,5020,186.5,27.5,1.471
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,6,47.0,5.2,65.8,1560,7.0,-0.1,1.400
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,7,42.6,1.4,59.2,3810,187.2,-36.5,1.390
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,8,44.3,7.8,34.0,7533,72.2,-35.5,0.768
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,9,42.6,2.0,62.3,4542,193.3,-6.2,1.463
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,10,42.9,4.0,59.2,3620,187.1,-55.4,1.380
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,11,42.4,2.2,56.4,4020,176.2,-12.0,1.330
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5W,12,45.0,5.6,62.0,3170,206.6,-20.8,1.378
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5i,1,39.7,1.2,56.3,5210,166.5,16.4,1.418
2026-05-08,fc48fe13-194b-f111-9c8c-c86e08cb2270,5i,2,36.8,-0.4,49.9,3650,142.9,10.6,1.356
